,Child,Parent,Child_Level,Parent_Level
0,1.0,1,1.0,0
24,34.0,1,1.0,0
25,11.0,1,1.0,0
47,64.0,1,1.0,0
60,61.0,1,1.0,0
107,55.0,1,1.0,0
187,20.0,1,1.0,0
301,80.0,1,1.0,0
384,21.0,1,1.0,0
580,70.0,1,1.0,0
641,18.0,1,1.0,0
642,78.0,1,1.0,0
1219,43.0,1,1.0,0
1268,47.0,1,1.0,0
2276,81.0,1,1.0,0
3459,,1,,0
0,2.0,1.0,2.0,1.0
23,24.0,1.0,2.0,1.0
24,38.0,34.0,2.0,1.0
25,12.0,11.0,2.0,1.0
47,72.0,64.0,2.0,1.0
60,69.0,61.0,2.0,1.0
79,1.0,1.0,2.0,1.0
107,64.0,55.0,2.0,1.0
187,23.0,20.0,2.0,1.0
224,20.0,1.0,2.0,1.0
257,80.0,1.0,2.0,1.0
301,91.0,80.0,2.0,1.0
311,,1.0,,1.0
384,25.0,21.0,2.0,1.0
580,78.0,70.0,2.0,1.0
641,21.0,18.0,2.0,1.0
642,89.0,78.0,2.0,1.0
856,57.0,1.0,2.0,1.0
1180,60.0,1.0,2.0,1.0
1219,48.0,43.0,2.0,1.0
1268,52.0,47.0,2.0,1.0
1555,39.0,34.0,2.0,1.0
1632,,80.0,,1.0
2276,92.0,81.0,2.0,1.0
3459,,,,
0,2.0,2.0,3.0,2.0
20,33.0,2.0,3.0,2.0
23,26.0,24.0,3.0,2.0
24,42.0,38.0,3.0,2.0
25,13.0,12.0,3.0,2.0
36,78.0,2.0,3.0,2.0
47,85.0,72.0,3.0,2.0
49,55.0,2.0,3.0,2.0
56,7.0,2.0,3.0,2.0
60,82.0,69.0,3.0,2.0
79,1.0,1.0,3.0,2.0
107,76.0,64.0,3.0,2.0
187,25.0,23.0,3.0,2.0
224,21.0,20.0,3.0,2.0
257,98.0,80.0,3.0,2.0
278,24.0,2.0,3.0,2.0
301,112.0,91.0,3.0,2.0
311,,,,
378,61.0,2.0,3.0,2.0
384,27.0,25.0,3.0,2.0
507,59.0,2.0,3.0,2.0
573,,2.0,,2.0
574,117.0,2.0,3.0,2.0
580,92.0,78.0,3.0,2.0
641,22.0,21.0,3.0,2.0
642,109.0,89.0,3.0,2.0
856,67.0,57.0,3.0,2.0
860,110.0,2.0,3.0,2.0
863,72.0,2.0,3.0,2.0
1180,71.0,60.0,3.0,2.0
1219,54.0,48.0,3.0,2.0
1268,60.0,52.0,3.0,2.0
1555,43.0,39.0,3.0,2.0
1556,47.0,2.0,3.0,2.0
1913,,25.0,,2.0
2276,113.0,92.0,3.0,2.0
0,2.0,2.0,4.0,3.0
20,37.0,33.0,4.0,3.0
23,30.0,26.0,4.0,3.0
24,48.0,42.0,4.0,3.0
25,16.0,13.0,4.0,3.0
32,4.0,2.0,4.0,3.0
36,87.0,78.0,4.0,3.0
47,94.0,85.0,4.0,3.0
49,62.0,55.0,4.0,3.0
56,8.0,7.0,4.0,3.0
60,91.0,82.0,4.0,3.0
79,1.0,1.0,4.0,3.0
94,9.0,2.0,4.0,3.0
107,85.0,76.0,4.0,3.0
121,52.0,7.0,4.0,3.0
171,47.0,2.0,4.0,3.0
187,29.0,25.0,4.0,3.0
224,25.0,21.0,4.0,3.0
257,109.0,98.0,4.0,3.0
278,28.0,24.0,4.0,3.0
294,45.0,2.0,4.0,3.0
301,123.0,112.0,4.0,3.0
311,,,,
357,64.0,2.0,4.0,3.0
378,69.0,61.0,4.0,3.0
384,31.0,27.0,4.0,3.0
507,145.0,59.0,4.0,3.0
574,128.0,117.0,4.0,3.0
580,102.0,92.0,4.0,3.0
641,26.0,22.0,4.0,3.0
642,120.0,109.0,4.0,3.0
691,14.0,7.0,4.0,3.0
793,43.0,2.0,4.0,3.0
856,76.0,67.0,4.0,3.0
860,121.0,110.0,4.0,3.0
863,80.0,72.0,4.0,3.0
1098,81.0,2.0,4.0,3.0
1180,79.0,71.0,4.0,3.0
1203,24.0,21.0,4.0,3.0
1219,61.0,54.0,4.0,3.0
1268,68.0,60.0,4.0,3.0
1449,,2.0,,3.0
1555,49.0,43.0,4.0,3.0
1556,54.0,47.0,4.0,3.0
2276,124.0,113.0,4.0,3.0
2650,67.0,59.0,4.0,3.0
0,2.0,2.0,5.0,4.0
2,64.0,2.0,5.0,4.0
3,18.0,2.0,5.0,4.0
20,63.0,37.0,5.0,4.0
21,22.0,2.0,5.0,4.0
23,53.0,30.0,5.0,4.0
24,92.0,48.0,5.0,4.0
25,29.0,16.0,5.0,4.0
32,97.0,4.0,5.0,4.0
34,30.0,4.0,5.0,4.0
35,7.0,4.0,5.0,4.0
36,154.0,87.0,5.0,4.0
38,70.0,4.0,5.0,4.0
47,,94.0,,4.0
49,110.0,62.0,5.0,4.0
56,13.0,8.0,5.0,4.0
60,213.0,91.0,5.0,4.0
68,157.0,4.0,5.0,4.0
70,152.0,2.0,5.0,4.0
74,8.0,4.0,5.0,4.0
76,38.0,4.0,5.0,4.0
79,140.0,1.0,5.0,4.0
85,68.0,1.0,5.0,4.0
94,17.0,9.0,5.0,4.0
96,26.0,4.0,5.0,4.0
107,151.0,85.0,5.0,4.0
110,12.0,4.0,5.0,4.0
114,1.0,1.0,5.0,4.0
119,,4.0,,4.0
121,98.0,52.0,5.0,4.0
