,Cluster,Size,Level
64,1.0,3489.0,0.0
0,1.0,3192.0,1.0
24,34.0,18.0,1.0
25,11.0,41.0,1.0
47,64.0,5.0,1.0
60,61.0,34.0,1.0
107,55.0,4.0,1.0
187,20.0,51.0,1.0
301,80.0,6.0,1.0
384,21.0,65.0,1.0
580,70.0,10.0,1.0
641,18.0,12.0,1.0
642,78.0,19.0,1.0
1219,43.0,8.0,1.0
1268,47.0,17.0,1.0
2276,81.0,5.0,1.0
3459,,,
0,2.0,2833.0,2.0
23,24.0,66.0,2.0
24,38.0,14.0,2.0
25,12.0,41.0,2.0
47,72.0,5.0,2.0
60,69.0,34.0,2.0
79,1.0,230.0,2.0
107,64.0,4.0,2.0
187,23.0,51.0,2.0
224,20.0,19.0,2.0
257,80.0,24.0,2.0
301,91.0,5.0,2.0
311,,,
384,25.0,65.0,2.0
580,78.0,10.0,2.0
641,21.0,12.0,2.0
642,89.0,19.0,2.0
856,57.0,13.0,2.0
1180,60.0,4.0,2.0
1219,48.0,8.0,2.0
1268,52.0,17.0,2.0
1555,39.0,4.0,2.0
2276,92.0,5.0,2.0
0,2.0,2576.0,3.0
20,33.0,45.0,3.0
23,26.0,66.0,3.0
24,42.0,14.0,3.0
25,13.0,41.0,3.0
36,78.0,18.0,3.0
47,85.0,5.0,3.0
49,55.0,23.0,3.0
56,7.0,86.0,3.0
60,82.0,34.0,3.0
79,1.0,230.0,3.0
107,76.0,4.0,3.0
187,25.0,51.0,3.0
224,21.0,19.0,3.0
257,98.0,24.0,3.0
278,24.0,30.0,3.0
301,112.0,5.0,3.0
311,,,
378,61.0,18.0,3.0
384,27.0,63.0,3.0
507,59.0,7.0,3.0
574,117.0,4.0,3.0
580,92.0,10.0,3.0
641,22.0,12.0,3.0
642,109.0,19.0,3.0
856,67.0,13.0,3.0
860,110.0,3.0,3.0
863,72.0,9.0,3.0
1180,71.0,4.0,3.0
1219,54.0,8.0,3.0
1268,60.0,17.0,3.0
1555,43.0,4.0,3.0
1556,47.0,6.0,3.0
2276,113.0,5.0,3.0
0,2.0,1174.0,4.0
20,37.0,45.0,4.0
23,30.0,66.0,4.0
24,48.0,14.0,4.0
25,16.0,41.0,4.0
32,4.0,1236.0,4.0
36,87.0,18.0,4.0
47,94.0,5.0,4.0
49,62.0,23.0,4.0
56,8.0,43.0,4.0
60,91.0,34.0,4.0
79,1.0,230.0,4.0
94,9.0,103.0,4.0
107,85.0,4.0,4.0
121,52.0,33.0,4.0
171,47.0,5.0,4.0
187,29.0,51.0,4.0
224,25.0,14.0,4.0
257,109.0,24.0,4.0
278,28.0,30.0,4.0
294,45.0,22.0,4.0
301,123.0,5.0,4.0
311,,,
357,64.0,23.0,4.0
378,69.0,18.0,4.0
384,31.0,63.0,4.0
507,145.0,3.0,4.0
574,128.0,4.0,4.0
580,102.0,10.0,4.0
641,26.0,12.0,4.0
642,120.0,19.0,4.0
691,14.0,10.0,4.0
793,43.0,5.0,4.0
856,76.0,13.0,4.0
860,121.0,3.0,4.0
863,80.0,9.0,4.0
1098,81.0,5.0,4.0
1180,79.0,4.0,4.0
1203,24.0,5.0,4.0
1219,61.0,8.0,4.0
1268,68.0,17.0,4.0
1555,49.0,4.0,4.0
1556,54.0,6.0,4.0
2276,124.0,5.0,4.0
2650,67.0,4.0,4.0
0,2.0,786.0,5.0
2,64.0,26.0,5.0
3,18.0,225.0,5.0
20,63.0,29.0,5.0
21,22.0,54.0,5.0
23,53.0,63.0,5.0
