i,j,w
104315,1832666032,11.685
104318,7946372941,3.667
104318,3817308660,6.032
104318,4076126448,11.158
104319,9781311298,30.976
104320,6369329169,6.487
104321,9856119641,7.581
104321,268997562,16.416
104321,24951853,19.82
104322,7553887409,8.376
104322,1684511838,11.817
104322,2140227862,8.977
104322,1771426172,21.968
104323,4167762776,4.524
104323,8429795033,2.414
107584,742399752,31.108
107584,3847023130,12.145
107584,251892950,14.924
107585,6218501751,3.462
107585,4864083785,8.588
107585,251892754,35.134
107586,1312188768,15.178
107586,4726152857,13.243
107586,8043350341,5.382
107587,3381130090,9.215
107587,3381130092,16.889
107587,1678245252,16.99
107587,4688513237,9.582
107588,3715515059,14.304
107588,2218344511,15.379
107602,9673091214,4.004
107606,2203888698,3.773
107606,5816743941,4.692
107613,585124778,5.471
107614,2364384488,6.775
107614,8030470473,6.105
107615,2364371186,4.413
107626,5925584201,8.402
107626,8807410154,6.491
107626,1312454055,3.709
107627,4072083344,9.438
107627,8807410158,8.197
107627,1312453981,8.722
107628,1951616297,10.795
107632,7926686252,23.607
107632,6458938017,6.555
107634,2389802901,21.056
107634,8753664977,6.353
107634,7223298253,14.92
107637,5141625702,11.501
107637,6369361791,8.813
107638,9856119648,5.39
107638,6369361795,47.468
107638,5198585557,18.518
107641,7926506529,3.631
107643,7926554431,5.527
107643,4866651968,7.458
107644,1938819289,22.334
107646,1835356021,14.941
107646,5006978855,8.922
107647,441958992,15.553
107647,4922952362,4.671
107667,1938819316,3.074
107667,4627445240,23.799
107668,4650375402,16.293
107668,5055364611,8.294
107668,367077584,8.445
107684,4072476959,3.074
107684,25500535,20.728
107685,7617785710,6.748
107685,25503848,9.404
107685,8373690840,8.965
107686,8373690833,2.197
107686,7613626070,1.524
107687,1163955130,2.627
107687,6369329153,0.368
107688,1236791344,12.443
107690,8373690829,4.692
107692,8785484316,3.819
107692,8263157413,3.317
107693,7223695326,9.116
107693,2294047369,6.079
107693,25496622,9.269
107693,5006063173,12.89
