threshold_p,n_clusters,LCC_id,LCC_size
5,770,282,23
6,824,53,27
7,850,52,40
8,842,57,40
9,819,66,40
10,771,54,60
11,736,55,61
12,704,56,61
13,649,58,63
14,614,61,79
15,573,62,80
16,535,37,85
17,501,27,110
18,468,26,144
19,438,26,144
20,406,2,159
21,371,2,182
22,338,2,264
23,320,2,268
24,299,2,277
25,271,17,397
26,251,2,786
27,229,2,876
28,214,2,902
29,198,2,919
30,183,2,1170
31,164,2,1171
32,146,4,1236
33,133,2,2576
34,119,2,2696
35,109,2,2833
36,98,1,3192
37,79,1,3489
38,72,1,3516
39,64,0,3681
40,58,0,3704
41,56,0,3730
42,49,0,3797
43,47,0,3802
44,39,0,3894
45,38,0,3900
46,35,0,3922
47,34,0,3959
48,31,0,3988
49,27,0,4003
50,26,0,4006
