cluster_id,cluster_diam
0,1
1,2
2,1
3,2
4,3
5,8
6,1
7,3
8,2
9,1
10,3
11,5
12,4
13,1
14,3
15,8
16,2
17,2
18,3
19,3
20,1
21,1
22,1
23,1
24,4
25,2
26,1
27,2
28,2
29,2
30,4
31,2
32,1
33,1
34,3
35,3
36,1
37,1
38,1
39,2
40,4
41,1
42,4
43,5
44,3
45,6
46,1
47,1
48,1
49,2
50,1
51,1
52,1
53,2
54,3
55,5
56,1
57,4
58,1
59,1
60,1
61,2
62,1
63,1
64,1
65,1
66,2
67,2
68,2
69,1
70,1
71,8
72,2
73,4
74,1
75,1
76,1
77,1
78,1
79,3
80,1
81,2
82,1
83,1
84,1
85,1
86,6
87,4
88,2
89,2
90,2
91,1
92,1
93,1
94,1
95,1
96,3
97,1
98,1
99,1
100,2
101,2
102,1
103,4
104,6
105,3
106,2
107,1
108,4
109,1
110,1
111,1
112,2
113,1
114,1
115,2
116,4
117,1
118,1
119,1
120,5
121,4
122,2
123,1
124,1
125,5
126,1
127,1
128,2
129,2
130,1
131,1
132,1
133,1
134,1
135,1
136,2
137,1
138,1
139,1
140,1
141,1
142,3
143,4
144,4
145,2
146,4
147,1
148,2
149,2
150,8
151,2
152,1
153,1
154,2
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,2
163,2
164,1
165,2
166,3
167,6
168,2
169,2
170,1
171,1
172,1
173,10
174,2
175,1
176,1
177,9
178,1
179,1
180,2
181,2
182,1
183,1
184,2
185,4
186,4
187,4
188,1
189,1
190,1
191,2
192,2
193,3
194,1
195,3
196,2
197,2
198,1
199,2
200,1
201,2
202,1
203,1
204,1
205,5
206,1
207,1
208,1
209,2
210,1
211,1
212,1
213,1
214,2
215,1
216,1
217,2
218,1
219,3
220,1
221,1
222,2
223,1
224,2
225,2
226,1
227,1
228,3
229,2
230,2
231,1
232,3
233,2
234,1
235,4
236,1
237,2
238,1
239,2
240,2
241,4
242,1
243,3
244,2
245,1
246,1
247,7
248,3
249,2
250,2
251,2
252,1
253,12
254,2
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,5
264,3
265,1
266,2
267,2
268,2
269,1
270,2
271,1
272,1
273,1
274,2
275,4
276,1
277,1
278,1
279,1
280,1
281,1
282,15
283,2
284,2
285,1
286,2
287,3
288,2
289,1
290,1
291,1
292,1
293,3
294,1
295,2
296,1
297,1
298,2
299,2
300,1
301,2
302,1
303,1
304,2
305,1
306,2
307,1
308,3
309,3
310,3
311,1
312,1
313,1
314,2
315,9
316,5
317,1
318,4
319,4
320,1
321,3
322,3
323,2
324,1
325,4
326,3
327,3
328,2
329,1
330,1
331,2
332,5
333,3
334,1
335,1
336,4
337,2
338,3
339,1
340,1
341,1
342,2
343,1
344,2
345,1
346,5
347,1
348,1
349,4
350,1
351,2
352,2
353,2
354,1
355,2
356,3
357,2
358,1
359,1
360,1
361,5
362,2
363,2
364,2
365,1
366,2
367,1
368,6
369,1
370,3
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,3
381,1
382,3
383,5
384,1
385,1
386,3
387,1
388,2
389,4
390,1
391,1
392,2
393,7
394,1
395,3
396,2
397,4
398,1
399,1
400,1
401,1
402,3
403,1
404,1
405,1
406,1
407,2
408,2
409,1
410,1
411,2
412,2
413,4
414,2
415,1
416,1
417,3
418,1
419,1
420,1
421,2
422,3
423,1
424,4
425,2
426,2
427,5
428,2
429,2
430,1
431,1
432,1
433,1
434,1
435,5
436,3
437,2
438,2
439,1
440,2
441,3
442,1
443,2
444,1
445,1
446,8
447,1
448,2
449,1
450,1
451,1
452,3
453,1
454,2
455,1
456,2
457,2
458,3
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,2
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,4
479,4
480,1
481,2
482,2
483,1
484,4
485,2
486,2
487,2
488,2
489,1
490,1
491,1
492,1
493,1
494,1
495,10
496,2
497,4
498,3
499,1
500,1
501,4
502,1
503,2
504,1
505,2
506,1
507,2
508,3
509,2
510,3
511,2
512,2
513,1
514,1
515,1
516,1
517,1
518,2
519,1
520,1
521,1
522,3
523,1
524,1
525,1
526,1
527,2
528,2
529,2
530,2
531,1
532,1
533,1
534,1
535,2
536,1
537,5
538,1
539,3
540,2
541,2
542,1
543,1
544,2
545,1
546,6
547,1
548,1
549,2
550,2
551,3
552,1
553,1
554,3
555,4
556,3
557,1
558,1
559,3
560,1
561,1
562,1
563,1
564,3
565,1
566,1
567,4
568,1
569,1
570,2
571,2
572,1
573,1
574,1
575,2
576,3
577,1
578,2
579,2
580,2
581,1
582,2
583,3
584,1
585,1
586,1
587,1
588,2
589,1
590,1
591,1
592,1
593,1
594,2
595,1
596,1
597,1
598,1
599,4
600,1
601,1
602,1
603,1
604,1
605,3
606,1
607,1
608,3
609,1
610,5
611,2
612,2
613,4
614,3
615,2
616,3
617,1
618,4
619,1
620,1
621,2
622,1
623,1
624,3
625,1
626,2
627,2
628,3
629,1
630,2
631,1
632,1
633,1
634,1
635,2
636,2
637,1
638,1
639,1
640,2
641,3
642,2
643,1
644,1
645,1
646,2
647,1
648,1
649,1
650,2
651,4
652,2
653,3
654,1
655,1
656,1
657,1
658,1
659,1
660,2
661,1
662,1
663,1
664,3
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,2
686,3
687,2
688,1
689,2
690,1
691,3
692,1
693,1
694,1
695,1
696,2
697,3
698,1
699,2
700,1
701,1
702,2
703,2
704,2
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,2
714,1
715,1
716,1
717,2
718,1
719,1
720,1
721,2
722,2
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,2
733,1
734,1
735,2
736,1
737,1
738,1
739,3
740,2
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,2
751,1
752,1
753,1
754,1
755,1
756,1
757,3
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
