cluster_id,cluster_diam
0,9
1,29
2,1
3,6
4,6
5,3
6,5
7,10
8,13
9,8
10,13
11,24
12,3
13,2
14,21
15,3
16,1
17,7
18,1
19,6
20,13
21,1
22,5
23,24
24,5
25,4
26,6
27,13
28,9
29,12
30,17
31,20
32,3
33,1
34,6
35,5
36,2
37,1
38,7
39,6
40,6
41,1
42,1
43,1
44,6
45,1
46,3
47,2
48,6
49,1
50,2
51,2
52,2
53,4
54,6
55,31
56,6
57,1
58,1
59,28
60,2
61,1
62,4
63,8
64,6
65,3
66,3
67,2
68,5
69,26
70,7
71,5
72,12
73,3
74,4
75,5
76,1
77,1
78,4
79,7
80,11
81,5
82,1
83,2
84,2
85,9
86,10
87,15
88,1
89,4
90,3
91,11
92,2
93,11
94,1
95,14
96,9
97,6
98,1
99,2
100,8
101,2
102,1
103,2
104,14
105,1
106,3
107,11
108,3
109,1
110,3
111,13
112,4
113,1
114,1
115,1
116,1
117,2
118,3
119,3
120,3
121,4
122,2
123,2
124,2
125,8
126,33
127,5
128,3
129,4
130,2
131,1
132,3
133,3
134,1
135,2
136,2
137,7
138,5
139,3
140,2
141,2
142,1
143,3
144,1
145,1
146,1
147,15
148,1
149,1
150,9
151,1
152,2
153,6
154,11
155,4
156,5
157,5
158,2
159,20
160,4
161,2
162,1
163,1
164,3
165,3
166,1
167,1
168,2
169,3
170,11
171,3
172,3
173,1
174,1
175,2
176,2
177,8
178,5
179,1
180,1
181,1
182,11
183,8
184,2
185,2
186,1
187,3
188,2
189,1
190,5
191,5
192,3
193,1
194,7
195,1
196,1
197,3
198,1
199,6
200,3
201,2
202,3
203,5
204,4
205,1
206,6
207,6
208,1
209,1
210,2
211,9
212,12
213,5
214,3
215,3
216,1
217,4
218,1
219,13
220,2
221,1
222,1
223,2
224,7
225,8
226,6
227,2
228,1
229,6
230,4
231,4
232,11
233,2
234,2
235,8
236,1
237,1
238,5
239,8
240,1
241,3
242,3
243,1
244,2
245,1
246,3
247,3
248,3
249,4
250,6
251,4
252,3
253,1
254,1
255,3
256,2
257,7
258,5
259,1
260,8
261,2
262,1
263,3
264,1
265,1
266,6
267,1
268,2
269,6
270,1
271,2
272,4
273,1
274,3
275,10
276,7
277,9
278,1
279,2
280,10
281,23
282,4
283,2
284,2
285,2
286,9
287,4
288,1
289,1
290,12
291,1
292,5
293,7
294,2
295,1
296,2
297,1
298,3
299,6
300,6
301,9
302,5
303,13
304,8
305,3
306,5
307,5
308,9
309,3
310,2
311,6
312,6
313,4
314,4
315,5
316,6
317,2
318,1
319,4
320,3
321,5
322,3
323,1
324,6
325,2
326,2
327,5
328,3
329,5
330,2
331,2
332,9
333,2
334,4
335,5
336,2
337,9
338,2
339,4
340,3
341,2
342,1
343,1
344,6
345,2
346,1
347,3
348,2
349,1
350,2
351,6
352,5
353,3
354,3
355,4
356,1
357,1
358,2
359,2
360,3
361,4
362,1
363,1
364,1
365,2
366,7
367,5
368,3
369,1
370,2
371,3
372,1
373,2
374,2
375,15
376,3
377,2
378,5
379,6
380,1
381,8
382,4
383,1
384,1
385,1
386,1
387,2
388,7
389,1
390,1
391,4
392,2
393,1
394,5
395,10
396,1
397,1
398,5
399,1
400,18
401,3
402,1
403,4
404,1
405,1
406,3
407,1
408,1
409,1
410,3
411,1
412,1
413,4
414,2
415,8
416,4
417,3
418,3
419,5
420,6
421,2
422,4
423,5
424,1
425,2
426,1
427,7
428,2
429,6
430,1
431,1
432,2
433,3
434,2
435,1
436,4
437,2
438,3
439,2
440,2
441,2
442,2
443,2
444,1
445,1
446,13
447,1
448,3
449,8
450,2
451,2
452,2
