cluster_id,cluster_size
0,10
1,27
2,2
3,7
4,7
5,4
6,6
7,11
8,17
9,15
10,14
11,28
12,4
13,5
14,4
15,2
16,8
17,2
18,7
19,12
20,2
21,6
22,27
23,7
24,5
25,10
26,13
27,10
28,16
29,4
30,16
31,20
32,3
33,2
34,11
35,7
36,3
37,2
38,6
39,6
40,8
41,2
42,2
43,2
44,7
45,4
46,3
47,7
48,2
49,5
50,2
51,3
52,5
53,7
54,60
55,8
56,2
57,2
58,10
59,3
60,2
61,5
62,9
63,7
64,4
65,4
66,3
67,6
68,46
69,8
70,6
71,9
72,4
73,5
74,6
75,2
76,2
77,5
78,8
79,6
80,6
81,2
82,4
83,3
84,11
85,14
86,15
87,2
88,6
89,4
90,12
91,3
92,16
93,2
94,3
95,4
96,12
97,8
98,4
99,2
100,3
101,11
102,3
103,2
104,3
105,23
106,2
107,4
108,12
109,4
110,2
111,5
112,3
113,5
114,2
115,2
116,2
117,2
118,3
119,4
120,6
121,5
122,4
123,3
124,3
125,9
126,18
127,7
128,4
129,5
130,3
131,4
132,4
133,2
134,3
135,8
136,6
137,4
138,3
139,3
140,2
141,4
142,2
143,2
144,2
145,11
146,2
147,2
148,9
149,2
150,2
151,6
152,10
153,6
154,5
155,5
156,3
157,3
158,5
159,3
160,2
161,2
162,4
163,4
164,2
165,2
166,3
167,4
168,20
169,4
170,4
171,2
172,2
173,3
174,3
175,10
176,3
177,6
178,2
179,2
180,2
181,6
182,10
183,2
184,20
185,39
186,3
187,2
188,4
189,3
190,2
191,8
192,6
193,4
194,2
195,5
196,2
197,2
198,4
199,7
200,4
201,3
202,5
203,6
204,2
205,7
206,7
207,2
208,2
209,3
210,8
211,16
212,6
213,5
214,3
215,2
216,5
217,2
218,19
219,4
220,2
221,2
222,3
223,9
224,9
225,7
226,3
227,2
228,7
229,5
230,5
231,7
232,4
233,3
234,3
235,10
236,2
237,2
238,6
239,11
240,2
241,4
242,4
243,3
244,4
245,4
246,4
247,5
248,8
249,5
250,4
251,2
252,2
253,5
254,3
255,2
256,6
257,6
258,24
259,2
260,9
261,3
262,2
263,2
264,2
265,2
266,7
267,3
268,2
269,2
270,8
271,2
272,3
273,5
274,2
275,4
276,12
277,3
278,10
279,2
280,3
281,11
282,24
283,2
284,2
285,3
286,3
287,3
288,12
289,5
290,2
291,2
292,11
293,2
294,6
295,3
296,2
297,3
298,2
299,5
300,6
301,7
302,9
303,4
304,15
305,12
306,5
307,4
308,6
309,10
310,4
311,2
312,3
313,7
314,3
315,6
316,6
317,8
318,4
319,2
320,6
321,4
322,6
323,2
324,7
325,3
326,2
327,6
328,4
329,6
330,3
331,3
332,5
333,2
334,2
335,12
336,6
337,11
338,3
339,11
340,3
341,5
342,4
343,4
344,2
345,7
346,3
347,2
348,5
349,2
350,3
351,7
352,6
353,5
354,3
355,5
356,2
357,2
358,3
359,4
360,4
361,7
362,2
363,2
364,3
365,5
366,3
367,9
368,4
369,2
370,3
371,4
372,2
373,3
374,3
375,2
376,17
377,4
378,3
379,6
380,6
381,2
382,11
383,5
384,2
385,2
386,2
387,2
388,3
389,9
390,2
391,2
392,2
393,5
394,3
395,6
396,11
397,2
398,2
399,2
400,2
401,22
402,4
403,2
404,5
405,2
406,2
407,6
408,2
409,2
410,2
411,4
412,2
413,2
414,4
415,5
416,3
417,2
418,5
419,4
420,4
421,6
422,7
423,5
424,3
425,6
426,6
427,2
428,3
429,2
430,10
431,3
432,7
433,2
434,2
435,3
436,4
437,3
438,2
439,2
440,4
441,3
442,4
443,3
444,3
445,3
446,3
447,3
448,2
449,2
450,19
451,2
452,4
453,3
454,9
455,3
456,3
457,3
458,3
459,2
460,2
461,3
462,7
463,16
464,4
465,5
466,3
467,4
468,2
469,3
470,12
471,5
472,5
473,5
474,2
475,4
476,3
477,2
478,5
479,5
480,13
481,21
482,7
483,2
484,5
485,2
486,3
487,2
488,4
489,2
490,3
491,2
492,4
493,5
494,2
495,8
496,6
497,2
