cluster_id,cluster_size
0,9
1,27
2,159
3,5
4,18
5,15
6,5
7,8
8,13
9,66
10,117
11,42
12,26
13,14
14,45
15,104
16,29
17,4
18,18
19,4
20,47
21,58
22,102
23,19
24,39
25,144
26,62
27,2
28,17
29,13
30,3
31,2
32,4
33,39
34,10
35,80
36,20
37,3
38,28
39,14
40,10
41,8
42,41
43,41
44,4
45,5
46,3
47,21
48,3
49,11
50,46
51,35
52,4
53,8
54,27
55,2
56,18
57,11
58,4
59,4
60,71
61,15
62,3
63,8
64,6
65,28
66,23
67,15
68,22
69,7
70,2
71,50
72,42
73,70
74,2
75,4
76,48
77,32
78,6
79,8
80,4
81,15
82,3
83,3
84,20
85,17
86,8
87,7
88,12
89,16
90,3
91,2
92,10
93,4
94,16
95,8
96,2
97,2
98,10
99,2
100,2
101,2
102,9
103,11
104,3
105,4
106,6
107,18
108,3
109,10
110,4
111,5
112,11
113,5
114,4
115,7
116,21
117,5
118,4
119,4
120,2
121,3
122,6
123,28
124,2
125,4
126,3
127,9
128,13
129,6
130,6
131,8
132,3
133,27
134,3
135,10
136,3
137,12
138,4
139,9
140,29
141,3
142,4
143,4
144,2
145,3
146,3
147,6
148,6
149,5
150,2
151,10
152,3
153,2
154,3
155,5
156,7
157,7
158,4
159,3
160,7
161,6
162,3
163,14
164,2
165,9
166,12
167,3
168,6
169,12
170,20
171,11
172,2
173,28
174,24
175,4
176,4
177,2
178,3
179,16
180,14
181,3
182,5
183,10
184,4
185,2
186,46
187,2
188,4
189,8
190,2
191,8
192,4
193,6
194,5
195,8
196,4
197,2
198,3
199,8
200,7
201,5
202,5
203,25
204,12
205,6
206,10
207,4
208,4
209,2
210,3
211,5
212,3
213,5
214,12
215,2
216,5
217,4
218,5
219,3
220,3
221,10
222,2
223,2
224,38
225,3
226,6
227,8
228,47
229,21
230,8
231,18
232,23
233,10
234,15
235,8
236,7
237,2
238,10
239,9
240,4
241,8
242,2
243,10
244,8
245,4
246,3
247,3
248,10
249,11
250,2
251,3
252,11
253,3
254,2
255,2
256,4
257,3
258,7
259,5
260,2
261,5
262,3
263,13
264,4
265,5
266,4
267,15
268,2
269,3
270,4
271,22
272,4
273,3
274,2
275,2
276,5
277,3
278,3
279,2
280,8
281,3
282,26
283,2
284,4
285,16
286,3
287,3
288,2
289,8
290,5
291,11
292,5
293,21
294,8
295,3
296,3
297,4
298,3
299,2
300,4
301,4
302,4
303,27
304,2
305,9
306,3
307,2
308,5
309,5
310,5
311,5
312,3
313,3
314,5
315,2
316,10
317,5
318,9
319,16
320,5
321,2
322,11
323,3
324,2
325,2
326,2
327,3
328,2
329,16
330,4
331,3
332,3
333,3
334,4
335,6
336,4
337,11
338,2
339,3
340,3
341,5
342,3
343,12
344,2
345,2
346,2
347,2
348,3
349,4
350,4
351,2
352,2
353,2
354,10
355,3
356,4
357,2
358,6
359,6
360,2
361,16
362,2
363,2
364,2
365,3
366,2
367,4
368,2
369,3
370,3
371,2
372,12
373,2
374,3
375,4
376,2
377,3
378,3
379,5
380,5
381,3
382,2
383,2
384,3
385,2
386,2
387,2
388,2
389,3
390,2
391,4
392,2
393,2
394,2
395,2
396,4
397,2
398,2
399,3
400,2
401,2
402,3
403,3
404,2
405,2
