threshold_p,fractal_dim
5,1.4499261554788658
6,1.3909446360041986
7,1.3632229081103209
8,1.3246933177014257
9,1.2870720870259538
10,1.251346771960138
11,1.215162964707884
12,1.1856911055170885
13,1.1542391309751043
14,1.1306742373769287
15,1.1146738662976343
16,1.0993102238746346
17,1.090119140704716
18,1.0790515656840094
19,1.0628303838227071
20,1.056863233786701
21,1.0435749355842758
22,1.0351272684499166
23,1.0290794375993888
24,1.022122948398398
25,1.0211303878457159
26,1.0211334488644386
27,1.0160885195457585
28,1.0078439428142714
29,1.0001129209418138
30,0.9951033591107689
31,0.990023849252967
32,0.9828938601051874
33,0.9926251821383452
34,0.9809279971903319
35,0.9704623959857527
36,0.9523200912626636
37,0.9456293246049017
38,0.9366561773647456
39,0.9209716951723742
40,0.9159377807354677
41,0.916189483949444
42,0.8973841217210942
43,0.8970199943760252
44,0.8753056453877761
45,0.8748350207641129
46,0.8697906965847507
47,0.8737370339559706
48,0.8719793840557596
49,0.8640202614931548
