"p_ds" "ID_cluster" "ID_points"
3 0 8429795033
3 0 104323
3 1 4072476960
3 1 8373690833
3 1 7613626070
3 1 107686
3 2 6369329153
3 2 1163955130
3 2 107687
3 3 6828863691
3 3 6828863693
3 3 108406
3 4 109408
3 4 9694031532
3 5 1536948608
3 5 109734
3 6 109737
3 6 24952269
3 7 109785
3 7 9514602151
3 8 282708
3 8 4316306166
3 8 4530012703
3 9 7610670921
3 9 10572178
3 9 7610670919
3 10 350437608
3 10 10572779
3 11 10572785
3 11 8972511963
3 11 8972441127
3 12 9693963703
3 12 9693963701
3 12 9693963702
3 12 20460687
3 13 20626315
3 13 7572522492
3 14 20965801
3 14 2398924898
3 15 1813618497
3 15 20965804
3 16 3328228994
3 16 21392267
3 17 5573991659
3 17 5573991660
3 17 21523719
3 18 1419565097
3 18 21583366
3 19 4331121754
3 19 21685483
3 20 8923643489
3 20 21990629
3 20 9042053623
3 21 1938953413
3 21 1938953414
3 21 1938953417
3 21 9820538028
3 21 21990638
3 22 9693920801
3 22 9693920797
3 22 24660863
3 23 24950013
3 23 24950005
3 24 2389802904
3 24 24950050
3 25 24950064
3 25 5218844446
3 26 24950065
3 26 5227220845
3 27 24952267
3 27 6166157035
3 28 25067304
3 28 2566132610
3 29 1569343909
3 29 25067558
3 30 5104314353
3 30 25067727
3 31 5141216745
3 31 25067883
3 32 25067936
3 32 5141216782
3 33 25161361
3 33 7223298253
3 34 25161368
3 34 7836164763
3 35 6032044867
3 35 25161380
3 35 25161381
3 36 25471681
3 36 4630855202
3 36 4630855203
3 36 4630855204
3 36 4630855205
3 37 7271474849
3 37 25472324
3 38 25472379
3 38 762080111
3 39 25472789
3 39 9161061774
3 40 1684835107
3 40 3739048019
3 40 3739048020
3 40 3739048021
3 40 25472885
3 41 25473203
3 41 5067002855
3 42 25473204
3 42 25473205
3 43 25475072
3 43 6332695638
3 43 9135848921
3 43 9135848922
3 43 9135848923
3 44 9135845216
3 44 25475417
3 45 25475674
3 45 9576827482
3 46 4297212128
3 46 4297212129
3 46 25475692
3 47 4297212084
3 47 25475693
3 48 355416921
3 48 25475695
3 49 5931509721
3 49 25476124
3 50 7644884069
3 50 25477149
3 51 25477339
3 51 9203578107
3 52 806373533
3 52 25477774
3 53 25477858
3 53 3661703766
3 54 1832052008
3 54 25495542
3 55 1364169899
3 55 25495807
3 56 1834657467
3 56 25495820
3 56 6354294763
3 57 447887921
3 57 4275394254
3 57 25495822
3 58 5736847361
3 58 5736847362
3 58 5736847363
3 58 5736847364
3 58 25495852
3 59 25496820
3 59 321255925
3 60 4730978978
3 60 25496850
3 60 4730978982
3 61 9820538016
3 61 9820538017
3 61 9820538018
3 61 9820538019
3 61 9820523915
3 61 25497340
3 61 1938953437
3 62 9693963689
3 62 7075087298
