,Child,Parent
0,0.0,0
9,1.0,1
42,2.0,2
45,17.0,2
60,98.0,2
102,,2
134,16.0,2
828,3.0,3
840,4.0,4
842,93.0,4
849,174.0,4
854,175.0,4
882,5.0,5
897,6.0,6
903,7.0,7
906,43.0,7
1164,8.0,8
1244,9.0,9
1262,127.0,9
1315,10.0,10
1329,11.0,11
1358,,11
1380,12.0,12
1415,106.0,12
1529,13.0,13
1571,14.0,14
1589,15.0,15
1596,18.0,16
1666,19.0,17
1768,20.0,18
1993,21.0,19
2033,23.0,21
2037,24.0,22
2091,25.0,23
2102,26.0,24
2123,27.0,25
2126,63.0,25
2158,28.0,26
2159,,26
2176,29.0,27
2186,30.0,28
2223,31.0,29
2264,32.0,30
2317,33.0,31
2321,34.0,32
2326,35.0,33
2329,36.0,34
2350,37.0,35
2353,38.0,36
2371,39.0,37
2382,40.0,38
2450,41.0,39
2488,,40
2489,42.0,40
2498,44.0,41
2526,46.0,43
2542,47.0,44
2547,48.0,45
2551,49.0,46
2559,50.0,47
2565,51.0,48
2599,52.0,49
2629,53.0,50
2678,54.0,51
2686,56.0,53
2749,96.0,54
2750,,54
2753,58.0,56
2807,59.0,57
2813,60.0,58
2821,61.0,59
2825,62.0,60
2840,,61
2843,64.0,62
2846,65.0,63
2875,66.0,64
2884,67.0,64
2901,68.0,65
2920,69.0,66
2937,70.0,67
2942,,68
2943,71.0,68
2968,72.0,69
2972,73.0,70
3080,74.0,71
3097,75.0,72
3105,,72
3106,76.0,73
3109,78.0,75
3110,189.0,75
3125,252.0,76
3127,79.0,76
3142,80.0,77
3151,81.0,78
3167,82.0,79
3170,83.0,80
3174,84.0,81
3177,,81
3199,85.0,82
3202,86.0,83
3207,87.0,84
3212,88.0,85
3223,89.0,86
3228,90.0,87
3250,91.0,88
3254,94.0,89
3264,,89
3277,215.0,89
3323,95.0,90
3328,97.0,91
3337,99.0,92
3351,100.0,93
3354,,93
3355,101.0,94
3365,102.0,95
3368,103.0,96
3380,105.0,97
3382,104.0,97
3393,107.0,98
3422,109.0,100
3428,112.0,103
3431,113.0,104
3444,114.0,105
3451,115.0,106
3455,116.0,107
3458,117.0,108
3465,118.0,109
3473,119.0,110
3496,120.0,112
3510,121.0,113
3519,123.0,115
3536,124.0,116
3542,125.0,117
3560,126.0,118
3612,130.0,121
3616,131.0,122
3632,132.0,123
3650,133.0,124
3653,134.0,125
3659,136.0,127
3663,139.0,130
3667,140.0,131
3680,141.0,132
3684,143.0,134
3689,144.0,135
3695,145.0,136
3700,146.0,137
3708,147.0,138
3717,148.0,139
3720,149.0,140
3733,150.0,140
3764,151.0,141
3768,152.0,142
3771,153.0,143
3776,154.0,144
3778,155.0,144
3785,156.0,145
3791,157.0,146
3794,,146
3797,158.0,147
3802,159.0,148
3805,160.0,149
3824,162.0,151
3828,163.0,152
3834,164.0,153
3852,165.0,154
3868,166.0,155
3875,168.0,157
3894,169.0,158
3898,170.0,159
3909,207.0,160
3910,171.0,160
3927,172.0,161
3939,173.0,162
3945,176.0,163
3965,178.0,165
3970,179.0,166
3982,180.0,167
3985,183.0,170
3989,184.0,171
3997,186.0,173
4003,187.0,174
4006,188.0,175
4012,190.0,176
4015,191.0,177
4038,193.0,179
4042,194.0,180
4045,196.0,182
4055,197.0,183
4059,198.0,184
4062,200.0,186
4065,202.0,188
4069,203.0,189
4075,205.0,191
4086,206.0,192
4110,208.0,193
4116,209.0,194
4119,210.0,195
4123,211.0,196
4134,212.0,197
4139,213.0,198
4142,214.0,199
4145,217.0,201
4156,219.0,203
4159,222.0,206
4162,224.0,208
4165,254.0,208
4181,225.0,209
4184,226.0,210
4190,227.0,211
4204,229.0,213
4207,230.0,214
4212,231.0,215
4215,232.0,216
4218,233.0,217
4222,237.0,220
4226,238.0,221
4229,240.0,223
4239,241.0,224
4242,242.0,225
4246,244.0,227
4249,245.0,228
4255,246.0,229
4271,247.0,230
4274,248.0,231
4278,250.0,233
4281,,234
4284,255.0,236
4288,257.0,238
4291,258.0,239
4294,260.0,241
4297,261.0,242
4301,268.0,248
0,L20,0
2,L2137,0
21,L216,1
23,L2223,1
25,L21,1
27,L2140,1
29,L268,1
32,L234,1
45,L224,1
128,L235,1
251,L22,2
253,L264,2
254,L218,2
275,L2193,2
281,L222,2
282,L240,2
315,L266,2
333,L2152,2
385,L272,2
414,L291,2
512,L273,2
761,L2144,2
921,L2145,2
1425,L23,3
1438,L270,4
1439,L297,4
1440,L230,4
1441,L27,4
1454,L2157,4
1456,L28,4
1457,L238,4
1471,L226,4
1479,L212,4
1488,L2153,4
1490,L24,4
1491,L248,4
1526,L29,4
1535,L241,4
1540,L214,4
1541,L2165,4
1546,L2158,4
1593,L2118,4
1599,L26,4
1612,L2162,4
1627,L215,4
1628,L271,4
1632,L2215,4
1644,L285,4
1660,L265,4
1693,L296,4
1703,L2175,4
1704,L2125,4
1707,L281,4
1708,L2173,4
1799,L2216,4
1869,L284,4
1888,L251,4
1901,L280,4
1908,L282,4
1961,L2176,4
2027,L2184,4
2248,L2166,4
2279,L288,4
2674,L25,5
2689,L210,6
2704,L211,7
2706,L2115,7
2772,L213,8
2815,L217,9
2918,L219,10
2926,L2171,10
2967,L221,11
2972,L223,12
2983,L225,13
2993,L262,13
3011,L2241,13
3024,L227,14
3034,L228,15
3044,L2148,15
3071,L2221,15
3080,L229,16
3121,L231,17
3126,L232,18
3130,L254,18
3134,L233,19
3137,L2105,20
3138,L236,20
3162,L237,21
3163,L2211,21
3187,L239,22
3189,L278,22
3214,L2227,22
3244,L2139,23
3245,L243,23
3263,L244,24
3268,L245,25
3269,L2135,25
3282,L246,26
3283,L2224,26
3294,L247,27
3302,L249,28
3332,L250,29
3383,L253,30
3413,L2233,30
3449,L256,31
3462,L2189,31
3512,L257,32
3513,L2117,32
3514,L2116,32
3542,L258,33
3550,L259,34
3554,L260,35
3572,L263,37
3574,L275,37
3617,L267,38
3622,L276,39
3624,L269,39
3643,L277,41
3652,L279,42
3655,L283,43
3660,L286,44
3665,L287,45
3687,L289,46
3756,L290,47
3761,L292,48
3775,L293,49
3779,L294,50
3789,L295,51
3792,L298,52
3798,L2183,52
3825,L2100,54
3831,L2103,56
3834,L2104,57
3847,L2106,58
3851,L2107,59
3854,L2108,60
3861,L2109,61
3869,L2110,62
3892,L2112,64
3893,L2113,64
3915,L2121,67
3919,L2122,68
3936,L2123,69
3954,L2124,70
3957,L2127,72
3963,L2130,75
3967,L2131,76
3980,L2132,77
3984,L2138,78
3986,L2134,78
3991,L2136,78
4007,L2141,79
4011,L2210,80
4013,L2142,80
4020,L2143,81
4025,L2146,82
4027,L2147,82
4036,L2149,83
4055,L2151,85
4059,L2154,87
4077,L2155,88
4079,L2195,88
4088,L2159,90
4100,L2160,91
4102,L2161,91
4123,L2213,91
4134,L2201,92
4136,L2163,92
4169,L2167,94
4176,L2170,96
4180,L2225,97
4181,L2174,97
4187,L2177,98
4188,L2206,98
4213,L2179,100
4217,L2180,101
4220,L2182,102
4230,L2186,104
4233,L2188,106
4237,L2191,108
4248,L2192,109
4272,L2194,110
4275,L2196,111
4288,L2197,112
4293,L2198,113
4296,L2199,114
4299,L2203,116
4303,L2236,117
4308,L2208,120
4327,L2209,121
4330,L2242,123
4335,L2214,124
4340,L2217,125
4347,L2220,128
4351,L2228,130
4357,L2229,131
4373,L2230,132
4376,L2231,133
4383,L2238,137
4388,L2239,138
4394,L2248,145
0,L30,0
22,L31,1
252,L32,2
276,L34,2
318,L39,2
385,L347,2
477,L345,2
529,L364,2
838,L343,2
1071,L381,2
2828,L33,3
2841,L35,4
2856,L36,5
2871,L37,6
2939,L352,7
2940,L38,7
2962,L314,7
3025,L310,8
3074,L311,9
3079,L312,10
3090,L313,11
3131,L315,12
3177,L316,13
3218,L317,14
3223,L318,15
3231,L319,16
3234,L320,17
3260,L321,18
3285,L322,19
3342,L323,20
3361,L325,21
3362,L324,21
3380,L326,22
3392,L327,23
3400,L328,24
3430,L329,25
3481,L330,26
3547,L331,27
3610,L332,28
3640,L333,29
3648,L334,30
3652,L335,31
3670,L337,33
3715,L338,34
3720,L339,35
3741,L341,38
3750,L372,39
3751,L342,39
3758,L344,40
3763,L346,41
3832,L348,42
3846,L349,43
3850,L350,44
3860,L351,45
3863,L354,47
3869,L356,49
3872,L357,50
3885,L358,51
3889,L359,52
3892,L360,53
3899,L361,54
3907,L362,55
3930,L367,59
3933,L3145,59
3937,L368,60
3954,L369,61
3972,L370,62
3976,L375,66
3980,L376,67
3993,L377,68
3997,L378,69
4020,L398,70
4047,L379,71
4051,L380,72
4060,L382,73
4071,L383,74
4088,L3133,74
4094,L385,76
4098,L387,78
4116,L388,79
4127,L390,81
4139,L391,82
4173,L392,83
4208,L394,85
4215,L396,87
4219,L397,88
4226,L3100,90
4230,L3101,91
4233,L3102,92
4243,L3104,93
4246,L3106,95
4250,L3108,97
4261,L3109,98
4285,L3110,99
4288,L3111,100
4301,L3112,101
4306,L3113,102
4309,L3114,103
4312,L3116,105
4316,L3117,106
4321,L3120,109
4340,L3121,110
4343,L3123,112
4348,L3124,113
4353,L3125,114
4360,L3128,117
4364,L3130,119
4370,L3131,120
4386,L3132,121
4392,L3137,125
4397,L3138,126
0,L40,0
1,L469,0
45,L41,1
275,L42,2
295,L433,2
314,L455,2
318,L478,2
320,L47,2
513,L424,2
592,L461,2
703,L459,2
762,L4117,2
974,L4110,2
977,L472,2
1521,L447,2
3108,L43,3
3121,L44,4
3136,L45,5
3151,L46,6
3219,L48,7
3268,L49,8
3273,L410,9
3284,L411,10
3328,L412,11
3374,L413,12
3415,L414,13
3420,L415,14
3428,L416,15
3431,L417,16
3457,L418,17
3482,L419,18
3539,L420,19
3558,L421,20
3577,L422,21
3589,L423,22
3599,L425,23
3650,L426,24
3716,L427,25
3781,L428,26
3811,L429,27
3813,L493,27
3822,L430,28
3826,L431,29
3841,L434,30
3846,L435,31
3867,L438,34
3876,L439,35
3884,L440,36
3889,L441,37
3892,L497,37
3910,L4105,37
3973,L442,38
3987,L443,39
3991,L444,40
3995,L445,40
4004,L449,43
4007,L450,44
4020,L451,45
4024,L452,46
4027,L453,47
4034,L454,48
4042,L460,52
4059,L462,53
4063,L466,56
4067,L467,57
4080,L468,58
4084,L470,59
4111,L471,60
4115,L473,61
4126,L474,62
4149,L476,64
4153,L479,66
4156,L487,66
4168,L481,68
4180,L482,69
4214,L4100,70
4215,L483,70
4224,L4103,70
4265,L485,72
4272,L488,74
4279,L490,76
4283,L491,77
4286,L492,78
4296,L495,79
4300,L498,80
4324,L499,81
4327,L4101,82
4332,L4102,83
4336,L4106,85
4344,L4109,89
4363,L4112,91
4368,L4113,92
4373,L4114,93
4380,L4119,96
4386,L4120,97
4402,L4121,98
4408,L4125,101
4414,L4126,103
0,L519,0
2,L50,0
64,L52,1
87,L524,1
132,L51,1
267,L520,1
300,L580,1
852,L557,1
1147,L560,1
3256,L53,2
3269,L54,3
3284,L55,4
3299,L56,5
3367,L57,6
3416,L58,7
3421,L59,8
3432,L510,9
3478,L511,10
3524,L512,11
3565,L513,12
3570,L514,13
3578,L515,14
3581,L516,15
3607,L517,16
3632,L518,17
3689,L521,18
3701,L522,19
3711,L523,20
3762,L525,21
3827,L526,22
3859,L527,23
3870,L528,24
3874,L529,25
3889,L530,26
3894,L531,27
3915,L534,30
3924,L535,31
3932,L536,32
3937,L537,33
4021,L538,34
4024,L539,34
4039,L540,35
4052,L543,38
4055,L544,39
4068,L545,40
4072,L546,41
4075,L547,42
4082,L548,43
4090,L552,47
4107,L553,48
4111,L556,50
4115,L558,51
4119,L559,52
4146,L561,53
4157,L562,54
4183,L564,55
4187,L581,57
4191,L566,58
4206,L568,60
4218,L569,61
4252,L570,62
4303,L572,64
4310,L574,66
4317,L576,68
4321,L577,69
4324,L578,70
4334,L579,71
4338,L582,72
4344,L583,73
4348,L585,75
4356,L589,78
4375,L591,80
4381,L592,81
4386,L593,82
4393,L596,85
4399,L597,86
4415,L598,87
